Identifier,Start date,End date,Number of deaths,Incident,State,Year,Month,Month Name
IBD031681,2025-04-18,2025-04-18,1,Food Poisoning,Imo,2025,4,April
IBD032064,2025-03-31,2025-03-31,1,Gunmen Attack Man,Benue,2025,3,March
IBD032058,2025-03-31,2025-03-31,1,Road Accident,Lagos,2025,3,March
IBD032066,2025-03-31,2025-03-31,1,Stray Bullets,Sokoto,2025,3,March
IBD032062,2025-03-30,2025-03-30,1,Lightening Kills Herder,Kaduna,2025,3,March
IBD032049,2025-03-30,2025-03-30,9,Road Accident,Katsina,2025,3,March
IBD032065,2025-03-30,2025-03-30,4,Sallah Day Celebration Clash,Plateau,2025,3,March
IBD032054,2025-03-30,2025-03-30,1,Road Accident,Abia,2025,3,March
IBD032048,2025-03-30,2025-03-30,2,Gas Explosion,Delta,2025,3,March
IBD032061,2025-03-30,2025-03-30,1,Road Accident,Ogun,2025,3,March
IBD032052,2025-03-30,2025-03-30,2,Stampede,Gombe,2025,3,March
IBD032063,2025-03-30,2025-03-30,2,Fishing Activities,Kogi,2025,3,March
IBD032057,2025-03-29,2025-03-29,1,Herdsmen Kill Graduate,Fct (Abuja),2025,3,March
IBD032060,2025-03-29,2025-03-29,1,Labourer Kills Employer,Ondo,2025,3,March
IBD032050,2025-03-29,2025-03-29,1,Road Accident,Lagos,2025,3,March
IBD032059,2025-03-29,2025-03-29,1,Extrajudicial Killing,Delta,2025,3,March
IBD032046,2025-03-28,2025-03-28,6,Security Forces Vs Shiites Members,Fct (Abuja),2025,3,March
IBD032056,2025-03-28,2025-03-28,1,Pirates Vs Fashion Designer,Rivers,2025,3,March
IBD032042,2025-03-27,2025-03-27,2,Gas Explosion,Abia,2025,3,March
IBD032051,2025-03-27,2025-03-27,52,Gunmen Attack,Plateau,2025,3,March
IBD032028,2025-03-26,2025-03-26,2,Road Accident,Kano,2025,3,March
IBD032027,2025-03-26,2025-03-26,2,Lakurawa Vs Customs Officers,Kebbi,2025,3,March
IBD032045,2025-03-26,2025-03-26,1,Domestic Violence,Sokoto,2025,3,March
IBD032037,2025-03-26,2025-03-26,1,Domestic Violence,Edo,2025,3,March
IBD032033,2025-03-26,2025-03-26,2,Taskforce Raid,Fct (Abuja),2025,3,March
IBD032032,2025-03-26,2025-03-26,1,Chieftaincy Tussle,Ondo,2025,3,March
IBD032039,2025-03-26,2025-03-26,1,Domestic Violence,Lagos,2025,3,March
IBD032044,2025-03-25,2025-03-25,2,Domestic Violence,Ekiti,2025,3,March
IBD032030,2025-03-25,2025-03-25,3,Rainstorm,Cross River,2025,3,March
IBD032025,2025-03-25,2025-03-25,2,Road Accident,Abia,2025,3,March
IBD032034,2025-03-25,2025-03-25,1,Gunmen Vs Land Agent,Delta,2025,3,March
IBD032041,2025-03-25,2025-03-25,1,Pipeline Vandal,Rivers,2025,3,March
IBD032020,2025-03-24,2025-03-24,1,Troops Vs Armed Robber,Plateau,2025,3,March
IBD032019,2025-03-24,2025-03-24,1,Troops Kill Bandit,Plateau,2025,3,March
IBD032014,2025-03-24,2025-03-24,1,Kidnappers,Anambra,2025,3,March
IBD032026,2025-03-24,2025-03-24,2,Ritual Killing,Rivers,2025,3,March
IBD032017,2025-03-24,2025-03-24,8,Army Vs Boko Haram,Borno,2025,3,March
IBD032009,2025-03-24,2025-03-24,1,Jailbreak,Kogi,2025,3,March
IBD032055,2025-03-24,2025-03-24,1,Road Accident,Lagos,2025,3,March
IBD032012,2025-03-24,2025-03-24,1,Gunmen Vs Police,Enugu,2025,3,March
IBD032016,2025-03-24,2025-03-24,3,Army Vs Boko Haram,Borno,2025,3,March
IBD031984,2025-03-23,2025-03-23,2,Extrajudicial Killing,Cross River,2025,3,March
IBD032006,2025-03-23,2025-03-23,1,Assailants Vs Motorcycle Rider,Bauchi,2025,3,March
IBD032018,2025-03-23,2025-03-23,1,Hunter Killed,Ogun,2025,3,March
IBD032007,2025-03-23,2025-03-23,3,Gunmen Attack,Plateau,2025,3,March
IBD032008,2025-03-23,2025-03-23,8,Road Accident,Osun,2025,3,March
IBD032010,2025-03-23,2025-03-23,2,Bandits Kill 2,Kogi,2025,3,March
IBD031983,2025-03-22,2025-03-22,1,Bandits Attack,Sokoto,2025,3,March
IBD031989,2025-03-22,2025-03-22,10,Bandits Vs Security Operatives,Zamfara,2025,3,March
IBD031985,2025-03-22,2025-03-22,1,Kidnappers Kill 1,Benue,2025,3,March
IBD032035,2025-03-22,2025-03-22,3,Kidnap Victims,Kaduna,2025,3,March
IBD031987,2025-03-22,2025-03-22,1,Herdsmen Attack,Edo,2025,3,March
IBD031995,2025-03-22,2025-03-22,1,Herders Kill Farmer,Fct (Abuja),2025,3,March
IBD031990,2025-03-22,2025-03-22,1,Assailants Vs Security Man,Bauchi,2025,3,March
IBD032011,2025-03-22,2025-03-22,1,Pos Operator,Adamawa,2025,3,March
IBD032021,2025-03-22,2025-03-22,2,Generator Fume Kill 2,Rivers,2025,3,March
IBD031992,2025-03-21,2025-03-21,2,Communal Clash,Osun,2025,3,March
IBD031996,2025-03-21,2025-03-21,1,Hoodlums Vs Worshippers,Kaduna,2025,3,March
IBD032040,2025-03-21,2025-03-21,1,Man Dies In Hotel,Delta,2025,3,March
IBD032038,2025-03-21,2025-03-21,1,Domestic Violence,Edo,2025,3,March
IBD032031,2025-03-21,2025-03-21,5,Police Vs Kidnappers,Delta,2025,3,March
IBD031986,2025-03-20,2025-03-20,3,Gunmen Attack,Anambra,2025,3,March
IBD032004,2025-03-20,2025-03-20,2,Security Force Vs Lakurawa,Kebbi,2025,3,March
IBD032047,2025-03-20,2025-03-20,16,Northern Hunters,Edo,2025,3,March
IBD031981,2025-03-20,2025-03-20,1,Miyetti Allah Chairman,Plateau,2025,3,March
IBD032013,2025-03-20,2025-03-20,1,Kidnap Victim,Bauchi,2025,3,March
IBD031980,2025-03-19,2025-03-19,5,Herdsmen Attack,Benue,2025,3,March
IBD031982,2025-03-19,2025-03-19,1,Rape Victim,Delta,2025,3,March
IBD032002,2025-03-19,2025-03-19,1,Inferno,Yobe,2025,3,March
IBD031994,2025-03-19,2025-03-19,10,Banditry,Katsina,2025,3,March
IBD031971,2025-03-19,2025-03-19,1,Domestic Violence,Lagos,2025,3,March
IBD031979,2025-03-19,2025-03-19,1,Assailants Vs Security Guard,Ebonyi,2025,3,March
IBD031972,2025-03-19,2025-03-19,10,ExplosionVsRoad Accident,Fct (Abuja),2025,3,March
IBD031975,2025-03-19,2025-03-19,10,Herders Vs Farmers,Ondo,2025,3,March
IBD031970,2025-03-18,2025-03-18,1,Road Accident,Rivers,2025,3,March
IBD031993,2025-03-18,2025-03-18,25,NAF Vs Boko Haram,Borno,2025,3,March
IBD031978,2025-03-18,2025-03-18,1,Rainstorm Kill 1,Ogun,2025,3,March
IBD031974,2025-03-18,2025-03-18,7,Army Vs Terrorist,Zamfara,2025,3,March
IBD031977,2025-03-18,2025-03-19,12,Police Vs Gunmen,Benue,2025,3,March
IBD031969,2025-03-17,2025-03-17,2,Communal Clash,Ebonyi,2025,3,March
IBD031973,2025-03-17,2025-03-17,3,Army Vs Terrorist,Katsina,2025,3,March
IBD031991,2025-03-17,2025-03-17,10,NAF Vs Boko Haram,Borno,2025,3,March
IBD031988,2025-03-17,2025-03-17,1,Lawyer Vs Student,Imo,2025,3,March
IBD032003,2025-03-17,2025-03-17,1,Electrocution,Lagos,2025,3,March
IBD031976,2025-03-17,2025-03-17,2,Herdsmen Attack,Benue,2025,3,March
IBD032036,2025-03-16,2025-03-16,40,NAF Vs Terrorists,Borno,2025,3,March
IBD032005,2025-03-16,2025-03-16,1,Explosion,Rivers,2025,3,March
IBD031955,2025-03-16,2025-03-16,7,Road Accident,Imo,2025,3,March
IBD031997,2025-03-16,2025-03-16,1,Boy Suffocates,Lagos,2025,3,March
IBD032015,2025-03-16,2025-03-16,2,Domestic Violence,Edo,2025,3,March
IBD031952,2025-03-16,2025-03-16,1,Armed Robbers Vs Watchman,Katsina,2025,3,March
IBD032023,2025-03-16,2025-03-16,2,Road Accident,Kaduna,2025,3,March
IBD031959,2025-03-16,2025-03-16,1,Gunmen Vs Fulani Leader,Kwara,2025,3,March
IBD015011,2025-03-15,2025-03-15,1,Mob Attack,Lagos,2025,3,March
IBD031949,2025-03-15,2025-03-15,6,Road Accident,Anambra,2025,3,March
IBD031958,2025-03-15,2025-03-15,1,Assailants Vs Bride,Jigawa,2025,3,March
IBD031950,2025-03-15,2025-03-15,12,Army Vs Bandits,Katsina,2025,3,March
IBD031953,2025-03-15,2025-03-15,12,Army Vs Bandits,Katsina,2025,3,March
IBD032022,2025-03-15,2025-03-15,1,Mob Vs Armed Robber,Lagos,2025,3,March
IBD031942,2025-03-15,2025-03-15,2,Communal Clash,Cross River,2025,3,March
IBD031965,2025-03-15,2025-03-15,4,Cult Clash,Ogun,2025,3,March
IBD031945,2025-03-14,2025-03-14,6,Police Vs Kidnappers,Abia,2025,3,March
IBD031967,2025-03-14,2025-03-14,5,Gunmen Vs Herders,Enugu,2025,3,March
IBD031946,2025-03-14,2025-03-14,1,Police Vs Kidnappers,Nasarawa,2025,3,March
IBD031948,2025-03-14,2025-03-14,1,Drowns,Rivers,2025,3,March
IBD031968,2025-03-14,2025-03-14,1,Domestic Violence,Abia,2025,3,March
IBD031943,2025-03-13,2025-03-13,22,NAF Vs Bandit,Katsina,2025,3,March
IBD031944,2025-03-13,2025-03-13,1,Catholic Seminarian,Edo,2025,3,March
IBD031956,2025-03-12,2025-03-12,1,Farmer,Benue,2025,3,March
IBD031947,2025-03-12,2025-03-12,2,Soldiers Vs Kidnappers,Plateau,2025,3,March
IBD031938,2025-03-12,2025-03-12,1,Road Accident,Edo,2025,3,March
